TimeStamp,Test,Temperature,Electricity,Gas,Water,Heating,Cooling,Lighting,Domestic Water,Plugs,,,,,,,,coef,1000
1/2/16 3:00 AM,28,1.75,408.31,539.30,40.58,734.22,478.98,107.96,36.09,202.37,,,,,,,,,
1/2/16 4:00 AM,29,1.5,409.36,540.80,40.69,736.16,480.22,108.25,36.18,202.91,,,,,,,,,
1/2/16 5:00 AM,30,1.25,410.38,542.19,40.79,738.22,481.42,108.53,36.28,203.44,,,,,,,,,
1/2/16 6:00 AM,31,1,411.49,543.52,40.90,740.26,482.62,108.80,36.37,203.98,,,,,,,,,
1/2/16 7:00 AM,32,0.5,416.61,550.77,41.42,749.38,489.30,110.26,36.84,206.54,,,,,,,,,
1/2/16 8:00 AM,33,0,421.98,557.93,41.94,758.70,495.94,111.64,37.32,209.15,,,,,,,,,
1/2/16 9:00 AM,34,0.5,427.59,565.40,42.48,768.48,502.09,113.00,37.80,211.74,,,,,,,,,
1/2/16 10:00 AM,35,1,432.64,572.91,43.01,777.93,508.82,114.39,38.26,214.46,,,,,,,,,
1/2/16 11:00 AM,36,2,438.07,580.40,43.54,788.10,514.98,115.83,38.71,217.18,,,,,,,,,
1/2/16 12:00 PM,37,3,443.77,587.98,44.08,798.26,521.64,117.24,39.16,219.75,,,,,,,,,
1/2/16 1:00 PM,38,4,448.75,594.84,44.62,807.22,527.82,118.70,39.63,222.45,,,,,,,,,
1/2/16 2:00 PM,39,5,453.92,601.78,45.15,817.44,534.30,120.12,40.11,225.02,,,,,,,,,
1/2/16 3:00 PM,40,5.75,459.65,608.56,45.70,827.04,540.77,121.58,40.57,227.71,,,,,,,,,
1/2/16 4:00 PM,41,5.5,465.02,616.10,46.23,836.84,546.65,122.94,41.03,230.43,,,,,,,,,
1/2/16 5:00 PM,42,5,470.30,623.43,46.75,846.20,553.19,124.34,41.51,233.06,,,,,,,,,
1/2/16 6:00 PM,43,4.75,475.46,630.58,47.29,856.25,559.32,125.76,41.99,235.75,,,,,,,,,
1/2/16 7:00 PM,44,4.5,481.09,637.24,47.82,865.79,565.50,127.13,42.45,238.47,,,,,,,,,
1/2/16 8:00 PM,45,4,482.17,638.67,47.92,867.85,566.72,127.41,42.55,239.01,,,,,,,,,
1/2/16 9:00 PM,46,3.5,483.23,640.16,48.03,869.64,568.05,127.70,42.64,239.52,,,,,,,,,
1/2/16 10:00 PM,47,3,484.23,641.50,48.13,871.47,569.39,127.97,42.73,240.06,,,,,,,,,
1/2/16 11:00 PM,48,2.75,485.23,642.90,48.24,873.50,570.60,128.25,42.82,240.59,,,,,,,,,
1/3/16 12:00 AM,49,2.5,486.34,644.27,48.34,875.31,571.87,128.54,42.91,241.13,,,,,,,,,
1/3/16 1:00 AM,50,2.25,487.44,645.79,48.45,877.16,573.16,128.82,43.01,241.65,,,,,,,,,
1/3/16 2:00 AM,51,2,488.44,647.26,48.55,879.02,574.44,129.10,43.10,242.17,,,,,,,,,
1/3/16 3:00 AM,52,1.75,489.53,648.66,48.65,880.94,575.74,129.38,43.20,242.71,,,,,,,,,
1/3/16 4:00 AM,53,1.5,490.60,650.18,48.76,882.79,577.00,129.67,43.29,243.23,,,,,,,,,
1/3/16 5:00 AM,54,1.25,491.64,651.61,48.86,884.81,578.25,129.94,43.38,243.77,,,,,,,,,
1/3/16 6:00 AM,55,1,492.68,652.96,48.96,886.73,579.56,130.24,43.47,244.29,,,,,,,,,
1/3/16 7:00 AM,56,0.5,498.37,660.51,49.48,896.74,586.05,131.67,43.94,246.83,,,,,,,,,
1/3/16 8:00 AM,57,0,503.57,667.64,50.01,906.11,592.24,133.03,44.40,249.40,,,,,,,,,
1/3/16 9:00 AM,58,0.5,509.28,674.77,50.53,915.13,598.70,134.48,44.87,252.09,,,,,,,,,
1/3/16 10:00 AM,59,1,514.94,681.47,51.05,925.38,604.57,135.91,45.35,254.64,,,,,,,,,
1/3/16 11:00 AM,60,2,520.33,688.25,51.57,934.31,610.92,137.27,45.83,257.33,,,,,,,,,
1/3/16 12:00 PM,61,3,525.57,695.69,52.09,944.60,617.36,138.73,46.30,259.97,,,,,,,,,
1/3/16 1:00 PM,62,4,530.90,703.00,52.63,954.01,623.62,140.09,46.78,262.52,,,,,,,,,
1/3/16 2:00 PM,63,5,536.18,710.17,53.16,963.39,629.64,141.50,47.24,265.13,,,,,,,,,
1/3/16 3:00 PM,64,5.75,541.30,717.38,53.71,973.49,636.39,142.93,47.73,267.86,,,,,,,,,
1/3/16 4:00 PM,65,5.5,546.61,724.81,54.23,983.22,642.92,144.36,48.22,270.40,,,,,,,,,
1/3/16 5:00 PM,66,5,552.04,732.18,54.78,993.40,649.58,145.73,48.69,272.96,,,,,,,,,
1/3/16 6:00 PM,67,4.75,557.75,739.41,55.32,1002.46,656.20,147.17,49.17,275.69,,,,,,,,,
1/3/16 7:00 PM,68,4.5,562.84,746.35,55.86,1011.60,662.06,148.55,49.62,278.43,,,,,,,,,
1/3/16 8:00 PM,69,4,563.84,747.71,55.97,1013.57,663.24,148.83,49.71,278.98,,,,,,,,,
1/3/16 9:00 PM,70,3.5,564.90,749.23,56.08,1015.54,664.56,149.11,49.80,279.49,,,,,,,,,
1/3/16 10:00 PM,71,3,566.01,750.69,56.18,1017.57,665.87,149.40,49.90,280.02,,,,,,,,,
1/3/16 11:00 PM,72,2.75,567.15,752.17,56.29,1019.54,667.20,149.68,50.00,280.56,,,,,,,,,
1/4/16 12:00 AM,73,2.5,572.25,759.12,56.81,1028.69,673.56,151.06,50.47,283.30,,,,,,,,,
1/4/16 1:00 AM,74,2.25,577.53,766.46,57.33,1037.70,679.82,152.46,50.96,286.03,,,,,,,,,
1/4/16 2:00 AM,75,2,583.08,773.08,57.84,1047.83,685.68,153.82,51.43,288.57,,,,,,,,,
1/4/16 3:00 AM,76,1.75,588.18,780.66,58.36,1057.29,691.54,155.28,51.89,291.15,,,,,,,,,
1/4/16 4:00 AM,77,1.5,593.20,787.28,58.87,1067.05,697.43,156.74,52.37,293.71,,,,,,,,,
1/4/16 5:00 AM,78,1.25,598.47,793.96,59.40,1076.46,703.66,158.14,52.82,296.27,,,,,,,,,
1/4/16 6:00 AM,79,1,603.53,801.53,59.93,1086.58,709.73,159.53,53.29,298.82,,,,,,,,,
1/4/16 7:00 AM,80,0.5,631.97,839.62,62.50,1134.21,740.56,166.48,55.61,312.39,,,,,,,,,
1/4/16 8:00 AM,81,0,660.58,874.80,65.08,1180.52,774.04,173.48,57.97,325.10,,,,,,,,,
1/4/16 9:00 AM,82,0.5,689.19,910.44,67.74,1227.34,806.88,180.47,60.40,338.74,,,,,,,,,
1/4/16 10:00 AM,83,1,717.70,946.30,70.48,1275.22,839.78,187.27,62.80,352.28,,,,,,,,,
1/4/16 11:00 AM,84,2,742.98,983.25,73.19,1326.11,870.19,194.24,65.12,365.86,,,,,,,,,
1/4/16 12:00 PM,85,3,769.16,1018.15,75.78,1373.09,901.30,201.38,67.49,378.93,,,,,,,,,
1/4/16 1:00 PM,86,4,797.30,1052.35,78.50,1423.17,932.06,208.55,69.80,392.28,,,,,,,,,
1/4/16 2:00 PM,87,5,823.44,1086.40,81.05,1471.36,963.40,215.63,72.08,405.43,,,,,,,,,
1/4/16 3:00 PM,88,5.75,849.85,1120.08,83.63,1522.72,992.92,222.75,74.52,418.57,,,,,,,,,
1/4/16 4:00 PM,89,5.5,876.39,1156.67,86.20,1572.42,1026.08,229.57,76.95,431.95,,,,,,,,,
1/4/16 5:00 PM,90,5,902.98,1192.42,88.78,1621.08,1055.44,236.33,79.28,445.16,,,,,,,,,
1/4/16 6:00 PM,91,4.75,930.12,1230.31,91.51,1667.53,1086.07,243.65,81.58,457.85,,,,,,,,,
1/4/16 7:00 PM,92,4.5,955.57,1266.30,94.22,1719.09,1117.59,250.52,83.83,470.87,,,,,,,,,
1/4/16 8:00 PM,93,4,960.88,1273.15,94.73,1728.22,1123.53,251.94,84.29,473.48,,,,,,,,,
1/4/16 9:00 PM,94,3.5,966.15,1279.90,95.27,1737.77,1129.89,253.31,84.76,476.14,,,,,,,,,
1/4/16 10:00 PM,95,3,971.54,1287.31,95.80,1746.86,1136.43,254.73,85.23,478.72,,,,,,,,,
1/4/16 11:00 PM,96,2.75,977.23,1294.28,96.33,1755.91,1143.19,256.10,85.71,481.45,,,,,,,,,
1/5/16 12:00 AM,97,2.5,982.24,1301.45,96.86,1765.97,1149.16,257.49,86.17,484.09,,,,,,,,,
1/5/16 1:00 AM,98,2.25,987.55,1308.85,97.39,1775.67,1155.33,258.92,86.63,486.68,,,,,,,,,
1/5/16 2:00 AM,99,2,992.71,1316.00,97.93,1784.61,1161.52,260.31,87.11,489.38,,,,,,,,,
1/5/16 3:00 AM,100,1.75,998.26,1323.20,98.47,1793.88,1167.81,261.73,87.59,492.02,,,,,,,,,
1/5/16 3:59 AM,101,1.75,1003.31,1330.08,99.00,1802.90,1174.09,263.17,88.06,494.58,,,,,,,,,
1/5/16 4:59 AM,102,1.5,1008.57,1337.52,99.50,1812.06,1180.39,264.55,88.54,497.17,,,,,,,,,
1/5/16 5:59 AM,103,1.25,1013.81,1344.59,100.05,1822.05,1186.59,265.96,89.00,499.84,,,,,,,,,
1/5/16 6:59 AM,104,1,1019.49,1351.84,100.58,1831.44,1192.61,267.42,89.46,502.53,,,,,,,,,
1/5/16 7:59 AM,105,0.5,1047.03,1386.47,103.21,1877.17,1223.31,274.71,91.77,516.14,,,,,,,,,
1/5/16 8:59 AM,106,0,1072.42,1420.29,105.89,1924.97,1256.19,281.98,94.13,529.53,,,,,,,,,
1/5/16 9:59 AM,107,0.5,1098.40,1454.24,108.60,1973.80,1288.04,289.11,96.47,543.12,,,,,,,,,
1/5/16 10:59 AM,108,1,1126.73,1487.83,111.22,2020.53,1319.30,296.41,98.86,556.14,,,,,,,,,
1/5/16 11:59 AM,109,2,1153.24,1520.93,113.93,2065.17,1352.23,303.45,101.14,569.55,,,,,,,,,
1/5/16 12:59 PM,110,3,1179.20,1556.08,116.65,2116.02,1382.45,310.35,103.43,582.35,,,,,,,,,
1/5/16 1:59 PM,111,4,1207.01,1590.30,119.35,2162.88,1411.81,317.66,105.80,595.84,,,,,,,,,
1/5/16 2:59 PM,112,5,1232.22,1623.57,122.04,2210.89,1445.58,324.72,108.09,608.81,,,,,,,,,
1/5/16 3:59 PM,113,5.75,1257.13,1659.91,124.69,2258.75,1477.63,331.51,110.36,622.00,,,,,,,,,
1/5/16 4:59 PM,114,5.5,1283.35,1694.59,127.33,2308.90,1506.95,338.35,112.64,634.97,,,,,,,,,
1/5/16 5:59 PM,115,5,1308.74,1728.30,130.07,2358.62,1540.58,345.32,115.02,647.84,,,,,,,,,
1/5/16 6:59 PM,116,4.75,1333.87,1765.15,132.70,2406.02,1572.48,352.21,117.42,660.77,,,,,,,,,
1/5/16 7:59 PM,117,4.5,1362.31,1800.03,135.39,2453.03,1603.86,359.06,119.75,673.71,,,,,,,,,
1/5/16 8:59 PM,118,4,1368.01,1807.37,135.91,2462.78,1609.77,360.48,120.22,676.42,,,,,,,,,
1/5/16 9:59 PM,119,3.5,1373.04,1814.54,136.42,2472.31,1616.42,361.85,120.69,679.06,,,,,,,,,
1/5/16 10:59 PM,120,3,1378.14,1821.74,136.93,2481.61,1622.36,363.29,121.15,681.65,,,,,,,,,
1/5/16 11:59 PM,121,2.75,1383.54,1828.83,137.43,2490.81,1628.93,364.70,121.60,684.39,,,,,,,,,
1/6/16 12:59 AM,122,2.5,1388.56,1835.80,137.96,2500.70,1635.42,366.08,122.08,687.07,,,,,,,,,
1/6/16 1:59 AM,123,2.25,1394.16,1843.24,138.48,2510.88,1641.33,367.47,122.56,689.64,,,,,,,,,
1/6/16 2:59 AM,124,2,1399.54,1850.82,139.00,2520.60,1647.73,368.88,123.01,692.29,,,,,,,,,
1/6/16 3:59 AM,125,1.75,1404.90,1858.10,139.51,2530.38,1653.70,370.33,123.50,694.92,,,,,,,,,
1/6/16 4:59 AM,126,1.5,1409.85,1865.14,140.05,2539.81,1660.29,371.79,123.96,697.52,,,,,,,,,
1/6/16 5:59 AM,127,1.25,1415.12,1872.45,140.57,2549.56,1666.98,373.23,124.41,700.25,,,,,,,,,
1/6/16 6:59 AM,128,1,1420.08,1879.90,141.08,2558.75,1672.99,374.63,124.89,702.89,,,,,,,,,
1/6/16 7:59 AM,129,0.5,1447.54,1915.69,143.75,2606.80,1702.41,381.49,127.27,716.54,,,,,,,,,
1/6/16 8:59 AM,130,0,1472.85,1951.07,146.47,2655.37,1736.26,388.76,129.54,730.23,,,,,,,,,
1/6/16 9:59 AM,131,0.5,1499.80,1987.73,149.04,2704.55,1766.09,395.89,131.84,743.38,,,,,,,,,
1/6/16 10:59 AM,132,1,1526.19,2025.36,151.68,2751.25,1797.69,403.01,134.22,756.77,,,,,,,,,
1/6/16 11:59 AM,133,2,1551.54,2063.27,154.41,2799.04,1828.96,409.97,136.59,769.63,,,,,,,,,
1/6/16 12:59 PM,134,3,1577.86,2099.27,157.13,2849.53,1861.61,416.89,138.98,782.45,,,,,,,,,
1/6/16 1:59 PM,135,4,1605.76,2137.10,159.70,2896.05,1893.35,423.68,141.35,795.94,,,,,,,,,
1/6/16 2:59 PM,136,5,1632.34,2172.65,162.26,2943.26,1923.19,430.67,143.61,808.60,,,,,,,,,
1/6/16 3:59 PM,137,5.75,1658.38,2209.87,164.84,2993.44,1953.34,437.69,146.01,822.30,,,,,,,,,
1/6/16 4:59 PM,138,5.5,1686.91,2245.60,167.41,3043.82,1983.35,444.52,148.38,835.53,,,,,,,,,
1/6/16 5:59 PM,139,5,1712.32,2282.05,170.03,3095.13,2015.86,451.36,150.73,848.29,,,,,,,,,
1/6/16 6:59 PM,140,4.75,1737.11,2316.03,172.67,3145.01,2047.39,458.13,153.09,861.26,,,,,,,,,
1/6/16 7:59 PM,141,4.5,1764.16,2352.83,175.39,3195.90,2077.42,465.38,155.36,874.55,,,,,,,,,
1/6/16 8:59 PM,142,4,1769.24,2360.27,175.92,3205.44,2083.27,466.83,155.82,877.20,,,,,,,,,
1/6/16 9:59 PM,143,3.5,1774.87,2367.20,176.46,3215.40,2089.67,468.27,156.27,879.84,,,,,,,,,
1/6/16 10:59 PM,144,3,1779.84,2374.35,176.97,3224.74,2095.90,469.65,156.72,882.43,,,,,,,,,
1/6/16 11:59 PM,145,2.75,1785.56,2381.78,177.48,3234.00,2102.31,471.04,157.19,885.06,,,,,,,,,
1/7/16 12:59 AM,146,2.5,1790.57,2389.29,177.99,3243.58,2108.59,472.46,157.65,887.63,,,,,,,,,
1/7/16 1:59 AM,147,2.25,1796.00,2396.91,178.53,3253.55,2114.45,473.86,158.12,890.33,,,,,,,,,
1/7/16 2:59 AM,148,2,1801.70,2403.99,179.07,3263.42,2120.45,475.26,158.58,892.96,,,,,,,,,
1/7/16 3:59 AM,149,1.75,1806.81,2410.67,179.61,3272.90,2127.17,476.66,159.03,895.54,,,,,,,,,
1/7/16 4:59 AM,150,1.5,1811.82,2417.92,180.12,3282.46,2133.50,478.09,159.50,898.22,,,,,,,,,
1/7/16 5:59 AM,151,1.25,1817.45,2424.63,180.67,3292.44,2140.05,479.50,159.98,900.93,,,,,,,,,
1/7/16 6:59 AM,152,1,1822.70,2431.87,181.22,3301.85,2145.94,480.86,160.43,903.54,,,,,,,,,
1/7/16 7:59 AM,153,0.5,1849.23,2469.48,183.82,3350.17,2175.90,488.02,162.79,916.79,,,,,,,,,
1/7/16 8:59 AM,154,0,1874.98,2504.99,186.53,3398.04,2205.52,495.23,165.22,930.49,,,,,,,,,
1/7/16 9:59 AM,155,0.5,1902.53,2540.30,189.17,3449.38,2235.78,502.05,167.56,943.83,,,,,,,,,
1/7/16 10:59 AM,156,1,1930.23,2577.16,191.91,3496.41,2266.16,509.08,169.87,957.35,,,,,,,,,
1/7/16 11:59 AM,157,2,1957.40,2614.59,194.61,3547.00,2296.65,516.28,172.28,970.56,,,,,,,,,
1/7/16 12:59 PM,158,3,1985.68,2651.61,197.26,3598.04,2326.65,523.19,174.69,983.43,,,,,,,,,
1/7/16 1:59 PM,159,4,2010.62,2686.26,199.93,3646.00,2356.20,530.43,177.08,996.94,,,,,,,,,
1/7/16 2:59 PM,160,5,2035.67,2723.02,202.51,3691.19,2388.13,537.46,179.52,1010.35,,,,,,,,,
1/7/16 3:59 PM,161,5.75,2060.73,2758.95,205.11,3737.95,2420.40,544.78,181.96,1023.90,,,,,,,,,
1/7/16 4:59 PM,162,5.5,2085.88,2792.73,207.65,3788.57,2451.89,551.71,184.25,1037.18,,,,,,,,,
1/7/16 5:59 PM,163,5,2111.34,2828.66,210.33,3836.09,2484.41,558.77,186.53,1050.58,,,,,,,,,
1/7/16 6:59 PM,164,4.75,2137.75,2863.71,213.01,3887.19,2515.23,565.62,188.78,1063.94,,,,,,,,,
1/7/16 7:59 PM,165,4.5,2165.27,2896.74,215.66,3938.67,2546.97,572.61,191.19,1077.00,,,,,,,,,
1/7/16 8:59 PM,166,4,2170.91,2904.23,216.17,3948.37,2553.70,574.02,191.65,1079.58,,,,,,,,,
1/7/16 9:59 PM,167,3.5,2176.16,2911.03,216.72,3957.97,2559.57,575.39,192.12,1082.25,,,,,,,,,
1/7/16 10:59 PM,168,3,2181.73,2918.34,217.24,3967.25,2565.68,576.75,192.59,1084.97,,,,,,,,,
1/7/16 11:59 PM,169,2.75,2187.16,2925.60,217.76,3977.03,2572.42,578.16,193.06,1087.63,,,,,,,,,
1/8/16 12:59 AM,170,2.5,2192.82,2932.86,218.30,3986.36,2578.75,579.58,193.54,1090.27,,,,,,,,,
1/8/16 1:59 AM,171,2.25,2198.41,2940.39,218.82,3996.63,2584.69,580.96,194.02,1092.87,,,,,,,,,
1/8/16 2:59 AM,172,2,2203.77,2947.23,219.34,4006.23,2591.37,582.37,194.47,1095.42,,,,,,,,,
1/8/16 3:59 AM,173,1.75,2209.41,2954.77,219.85,4016.39,2597.89,583.78,194.94,1098.05,,,,,,,,,
1/8/16 4:59 AM,174,1.5,2214.47,2961.72,220.36,4025.51,2604.31,585.16,195.40,1100.60,,,,,,,,,
1/8/16 5:59 AM,175,1.25,2219.43,2968.58,220.88,4035.31,2610.47,586.56,195.87,1103.20,,,,,,,,,
1/8/16 6:59 AM,176,1,2224.67,2975.54,221.40,4044.55,2616.79,587.95,196.35,1105.77,,,,,,,,,
1/8/16 7:59 AM,177,0.5,2252.07,3008.55,224.03,4091.56,2648.42,595.13,198.67,1118.87,,,,,,,,,
1/8/16 8:59 AM,178,0,2279.97,3044.79,226.73,4141.27,2682.01,602.43,201.07,1132.13,,,,,,,,,
1/8/16 9:59 AM,179,0.5,2306.43,3081.10,229.39,4190.26,2713.54,609.21,203.35,1145.02,,,,,,,,,
1/8/16 10:59 AM,180,1,2331.46,3116.75,232.09,4235.77,2744.42,616.19,205.64,1158.74,,,,,,,,,
1/8/16 11:59 AM,181,2,2357.33,3154.38,234.68,4287.36,2777.92,623.26,207.92,1172.33,,,,,,,,,
1/8/16 12:59 PM,182,3,2384.09,3187.45,237.21,4338.79,2811.03,630.43,210.31,1185.45,,,,,,,,,
1/8/16 1:59 PM,183,4,2409.51,3223.87,239.83,4388.96,2843.89,637.56,212.72,1199.00,,,,,,,,,
1/8/16 2:59 PM,184,5,2435.24,3261.15,242.46,4434.50,2873.22,644.32,214.98,1212.26,,,,,,,,,
1/8/16 3:59 PM,185,5.75,2461.86,3295.45,245.18,4483.50,2903.05,651.43,217.30,1225.98,,,,,,,,,
1/8/16 4:59 PM,186,5.5,2487.49,3329.89,247.84,4529.74,2933.83,658.23,219.63,1238.81,,,,,,,,,
1/8/16 5:59 PM,187,5,2515.43,3365.00,250.40,4576.07,2966.10,665.07,222.06,1251.61,,,,,,,,,
1/8/16 6:59 PM,188,4.75,2542.27,3399.88,253.10,4623.05,2996.15,671.89,224.34,1264.56,,,,,,,,,
1/8/16 7:59 PM,189,4.5,2567.48,3435.00,255.78,4674.15,3027.03,678.66,226.77,1277.44,,,,,,,,,
1/8/16 8:59 PM,190,4,2572.60,3441.63,256.32,4683.78,3033.47,680.10,227.24,1280.03,,,,,,,,,
1/8/16 9:59 PM,191,3.5,2577.58,3448.99,256.84,4694.01,3039.35,681.49,227.71,1282.67,,,,,,,,,
1/8/16 10:59 PM,192,3,2582.61,3456.26,257.38,4703.88,3045.94,682.94,228.17,1285.29,,,,,,,,,
1/8/16 11:59 PM,193,2.75,2588.24,3462.92,257.90,4713.17,3052.25,684.36,228.62,1288.03,,,,,,,,,
1/9/16 12:59 AM,194,2.5,2589.32,3464.25,258.01,4714.97,3053.56,684.64,228.72,1288.57,,,,,,,,,
1/9/16 1:59 AM,195,2.25,2590.34,3465.70,258.12,4716.90,3054.89,684.92,228.82,1289.08,,,,,,,,,
1/9/16 2:59 AM,196,2,2591.42,3467.21,258.23,4718.74,3056.09,685.21,228.91,1289.63,,,,,,,,,
1/9/16 3:59 AM,197,1.75,2592.47,3468.72,258.33,4720.54,3057.34,685.49,229.00,1290.16,,,,,,,,,
1/9/16 4:59 AM,198,1.5,2593.52,3470.14,258.43,4722.34,3058.64,685.76,229.09,1290.69,,,,,,,,,
1/9/16 5:59 AM,199,1.25,2594.56,3471.52,258.54,4724.25,3059.93,686.04,229.19,1291.23,,,,,,,,,
1/9/16 6:59 AM,200,1,2595.57,3472.86,258.65,4726.31,3061.26,686.32,229.28,1291.76,,,,,,,,,
1/9/16 7:59 AM,201,0.5,2601.10,3479.53,259.18,4735.23,3067.80,687.75,229.76,1294.39,,,,,,,,,
1/9/16 8:59 AM,202,0,2606.65,3486.69,259.73,4744.17,3074.44,689.13,230.21,1296.99,,,,,,,,,
1/9/16 9:59 AM,203,0.5,2612.38,3493.59,260.26,4753.17,3080.94,690.53,230.66,1299.61,,,,,,,,,
1/9/16 10:59 AM,204,1,2617.88,3501.01,260.78,4762.72,3087.60,691.88,231.14,1302.30,,,,,,,,,
1/9/16 11:59 AM,205,2,2623.39,3507.89,261.30,4771.75,3093.80,693.28,231.62,1305.04,,,,,,,,,
1/9/16 12:59 PM,206,3,2628.64,3515.47,261.83,4782.05,3100.36,694.64,232.09,1307.68,,,,,,,,,
1/9/16 1:59 PM,207,4,2633.89,3522.42,262.37,4791.78,3106.53,696.05,232.55,1310.22,,,,,,,,,
1/9/16 2:59 PM,208,5,2639.46,3529.49,262.91,4801.76,3113.21,697.51,233.02,1312.92,,,,,,,,,
1/9/16 3:59 PM,209,5.75,2644.82,3536.93,263.44,4811.04,3119.65,698.94,233.48,1315.51,,,,,,,,,
1/9/16 4:59 PM,210,5.5,2649.95,3544.40,263.98,4821.29,3126.02,700.35,233.94,1318.25,,,,,,,,,
1/9/16 5:59 PM,211,5,2654.91,3551.78,264.50,4830.87,3132.19,701.79,234.40,1320.80,,,,,,,,,
1/9/16 6:59 PM,212,4.75,2660.10,3558.43,265.01,4841.17,3138.40,703.21,234.88,1323.47,,,,,,,,,
1/9/16 7:59 PM,213,4.5,2665.66,3565.67,265.56,4850.53,3144.43,704.59,235.37,1326.04,,,,,,,,,
1/9/16 8:59 PM,214,4,2666.78,3567.00,265.66,4852.53,3145.61,704.87,235.46,1326.56,,,,,,,,,
1/9/16 9:59 PM,215,3.5,2667.83,3568.49,265.77,4854.37,3146.91,705.15,235.55,1327.11,,,,,,,,,
1/9/16 10:59 PM,216,3,2668.83,3569.90,265.88,4856.37,3148.19,705.43,235.65,1327.66,,,,,,,,,
1/9/16 11:59 PM,217,2.75,2669.85,3571.28,265.99,4858.18,3149.48,705.71,235.74,1328.19,,,,,,,,,
1/10/16 12:59 AM,218,2.5,2670.97,3572.77,266.09,4860.06,3150.72,706.00,235.83,1328.71,,,,,,,,,
1/10/16 1:59 AM,219,2.25,2672.03,3574.12,266.19,4862.08,3152.05,706.28,235.93,1329.23,,,,,,,,,
1/10/16 2:59 AM,220,2,2673.07,3575.56,266.30,4864.03,3153.39,706.56,236.02,1329.75,,,,,,,,,
1/10/16 3:59 AM,221,1.75,2674.13,3576.90,266.40,4866.03,3154.70,706.84,236.12,1330.28,,,,,,,,,
1/10/16 4:59 AM,222,1.5,2675.15,3578.24,266.51,4867.83,3155.91,707.11,236.22,1330.79,,,,,,,,,
1/10/16 5:59 AM,223,1.25,2676.18,3579.68,266.61,4869.83,3157.24,707.40,236.31,1331.30,,,,,,,,,
